ID,Judgement
m1d-1,A
m1d-2,A
m1d-3,X
m1d-4,X
m1d-5,A
m1d-6,X
m1d-7,B
m1d-8,X
m1d-9,A
m1d-10,A
m1d-11,B
m1d-12,X
m1d-13,B
m1d-14,X
m1d-15,X
m1d-16,X
m1d-17,A
m1d-18,X
m1d-19,B
m1d-20,X
m1d-21,B
m1d-22,B
m1d-23,A
m1d-24,A
m1d-25,X
m1d-26,A
m1d-27,A
m1d-28,A
m1d-29,X
m1d-30,A
m1d-31,B
m1d-32,X
m1d-33,X
m1d-34,A
m1d-35,B
m1d-36,B
m1d-37,A
m1d-38,X
m1d-39,B
m1d-40,X
m1d-41,B
m1d-42,X
m1d-43,A
m1d-44,A
m1d-45,X
m1d-46,A
m1d-47,X
m1d-48,X
m1d-49,A
m1d-50,B
m1d-51,B
m1d-52,X
m1d-53,X
m1d-54,A
m1d-55,X
m1d-56,B